location,rep,distance,yieldbu,yield
E,1,6.096,45,3026.25
E,1,18.288,53,3564.25
E,1,30.48,55,3698.75
E,1,42.672,53,3564.25
E,1,54.864,52,3497
E,1,67.056,56,3766
E,1,79.248,56,3766
E,1,91.44,57,3833.25
W,1,6.096,46,3093.5
W,1,18.288,47,3160.75
W,1,30.48,47,3160.75
W,1,36.576,47,3160.75
