location,rep,distance,yieldbu,yield
N,1,2.667,50.9,3425.376313
N,2,2.667,60.5,4067.634372
N,3,2.667,65.0,4369.301036
N,4,2.667,64.4,4330.376305
N,1,13.335,63.8,4291.451574
N,2,13.335,57.3,3853.548353
N,3,13.335,65.1,4379.032219
N,4,13.335,,
N,1,43.3578,63.1,4242.795661
N,2,43.3578,61.2,4116.290286
N,3,43.3578,59.9,4028.709641
N,4,43.3578,58.7,3950.86018
