site,dist,p,pmin,pmax
Wisconsin,3.0000000000000004,135.21278182617465,64.20782385277872,206.21773979957058
Wisconsin,3.1736441539226656,125.0842775215793,65.76352803105387,184.4050270121047
Wisconsin,3.3573390719091702,115.65782694463864,66.2762319324978,165.0394219567795
Wisconsin,3.551666506100228,106.89305617719853,65.81310405448292,147.97300829991414
Wisconsin,3.7572418812559767,98.7506789019016,64.40997434965362,133.09138345414956
Wisconsin,3.974716243773809,91.1926722949808,62.08202158799706,120.30332300196453
Wisconsin,4.204778323518068,84.1824120614698,58.85127090214326,109.51355322079635
Wisconsin,4.448156714991287,77.6847714360901,54.79248122760043,100.57706164457977
Wisconsin,4.705622184754648,71.66618878442873,50.07284359368471,93.25953397517274
Wisconsin,4.977990112405131,66.09470817221148,44.94276485513767,87.2466514892853
Wisconsin,5.266123072839791,60.939996952064384,39.67393999957498,82.20605390455378
Wisconsin,5.570933567985088,56.173344068859194,34.49526357130103,77.85142456641736
Wisconsin,5.893386916642471,51.76764242382256,29.565582787291266,73.96970206035385
Wisconsin,6.234504311602232,47.69735827735812,24.9785514455224,70.41616510919384
Wisconsin,6.595366053707361,43.93849032087652,20.779519638664652,67.09746100308838
Wisconsin,6.977114973109455,40.4685207158705,16.9819874087322,63.9550540230088
Wisconsin,7.380960048551704,37.266360088668534,13.579853580540043,60.95286659679702
Wisconsin,7.808180236140958,34.312288184529976,10.555603518882577,58.068972850177374
Wisconsin,8.260128519734414,31.58789162630648,7.8855288560366255,55.29025439657633
Wisconsin,8.738236195768335,29.07599999097557,5.542983673074794,52.60901630887635
Wisconsin,9.244017406098537,26.7606212113199,3.5003907273111246,50.02085169532867
Wisconsin,9.779073933207993,24.626877128668184,1.7304615306832964,47.52329272665307
Wisconsin,10.345100272967688,22.66093986434963,0.2069220634441784,45.114957665255076
Wisconsin,10.943889001015892,20.84996954052302,-1.0950737862431446,42.79501286728919
Wisconsin,11.577336449750884,19.182053763409456,-2.198729007245621,40.56283653406453
Wisconsin,12.247448713915889,17.64614918174165,-3.125514383621571,38.41781274710487
Wisconsin,12.956348003795611,16.232025348546387,-3.895159454778053,36.359210151870826
Wisconsin,13.706279366144516,14.93021104339214,-4.525693704325038,34.38611579110932
Wisconsin,14.499617794131794,13.731943153266,-5.033518488004924,32.497404794536926
Wisconsin,15.338875748819804,12.629118161736539,-5.433496850570805,30.691733174043883
Wisconsin,16.22671111599605,11.614246256588597,-5.739052711968693,28.967545225145887
Wisconsin,17.16593562355759,10.680408034405643,-5.962273765982557,27.32308983479384
Wisconsin,18.159523746105453,9.82121375548547,-6.114014350726894,25.756441861697834
Wisconsin,19.210622124949133,9.030765082996691,-6.203995847160991,24.26552601315437
Wisconsin,20.32255953335408,8.3036192255292125,-6.240903047445876,22.8481414985043
Wisconsin,21.498857418591495,7.634755391390814,-6.232475543986749,21.501986326768378
Wisconsin,22.743241054176604,7.019543455482179,-6.185593610494239,20.224680521458595
Wisconsin,24.05965133761386,6.453714734766565,-6.106358336897197,19.013787806430326
Wisconsin,25.45225727101195,5.933334765741388,-6.000165979823435,17.86683551130621
Wisconsin,26.92546916409423,5.454777976495675,-5.871776626523205,16.781332579514554
Wisconsin,28.48395260141757,5.014704146539455,-5.725377361098324,15.754785654177233
Wisconsin,30.132643218033046,4.61003654931593,-5.564640180691392,14.784713279323253
Wisconsin,31.876762330382668,4.237941674901225,-5.392774945062443,13.868658294864893
Wisconsin,33.72183347193375,3.8958104336461745,-5.212577662275779,13.004198529568127
Wisconsin,35.67369988591873,3.5812407452441355,-5.026474420760426,12.188955911248698
Wisconsin,37.738543030579194,3.2920214217730446,-4.8365612772201825,11.420604120766273
Wisconsin,39.92290215551886,3.026117257539935,-4.644640403256124,10.696874918335995
Wisconsin,42.23369501116303,2.781655242954565,-4.452252782968982,10.015563268878111
Wisconsin,44.678239756910116,2.556911824099274,-4.260707740585179,9.374531388783726
Wisconsin,47.26427813735765,2.350301134081741,-4.071109562297041,8.771711830460521
Wisconsin,49.99999999999999,2.160364126608461,-3.8843814607647795,8.205109713981702
