site,dist,p,pmin,pmax
Arkansas,13.999999999999996,59.833721767202434,21.435380311808544,98.23206322259632
Arkansas,14.223106342787043,59.83083121856995,21.443798524144626,98.21786391299527
Arkansas,14.449768145587784,59.827747710107616,21.452686744451107,98.20280867576412
Arkansas,14.680042068807989,59.82445838264009,21.462068805564066,98.18684795971612
Arkansas,14.913985675803113,59.8209495230635,21.47196948101022,98.16992956511677
Arkansas,15.15165744726788,59.81720650805765,21.482414489812157,98.15199852630315
Arkansas,15.39311679585517,59.81321374414573,21.49343049640826,98.1329969918832
Arkansas,15.63842408102782,59.80895460387251,21.505045104909485,98.11286410283553
Arkansas,15.887640624147169,59.80441135785907,21.517286846828185,98.09153586888995
Arkansas,16.140828723802056,59.799565102477715,21.530185161318748,98.06894504363669
Arkansas,16.398051671382024,59.794395682876754,21.54377036686727,98.04502099888623
Arkansas,16.659373766898806,59.788881611069776,21.55807362325526,98.0196895988843
Arkansas,16.924860335059897,59.78299997878788,21.573126882501477,97.99287307507427
Arkansas,17.19457774159823,59.776726364778064,21.588962827355495,97.96448990220063
Arkansas,17.468593409862198,59.770034736213105,21.605614795776177,97.93445467665003
Arkansas,17.74697583766993,59.76289734386199,21.623116689677715,97.90267799804626
Arkansas,18.02979461443226,59.75528461065143,21.641502866064798,97.86906635523806
Arkansas,18.317120438548507,59.747165013231296,21.660808008507708,97.83352201795489
Arkansas,18.609025135079534,59.73850495613803,21.681066976725994,97.79594293555007
Arkansas,18.905581673702372,59.72926863813141,21.702314631858613,97.7562226444042
Arkansas,19.206864186951055,59.71941791026109,21.72458563479718,97.714250185725
Arkansas,19.512947988748063,59.708912125200435,21.74791421475026,97.66991003565062
Arkansas,19.823909593231168,59.69770797736625,21.772333904990013,97.6230820497425
Arkansas,20.13982673388022,59.68575933332475,21.797877242510907,97.57364142413859
Arkansas,20.46077838294885,59.6730170519663,21.82457542810618,97.52145867582641
Arkansas,20.786844771205693,59.65942879391403,21.852457943141985,97.46639964468608
Arkansas,21.11810740799039,59.64493881961611,21.88155211908944,97.40832552014277
Arkansas,21.454649101589016,59.62948777555673,21.911882655662033,97.34709289545142
Arkansas,21.79655397993436,59.61301246800877,21.943471083208415,97.28255385280912
Arkansas,22.143907511636044,59.59544562374079,21.97633516483466,97.21455608264691
Arkansas,22.49679652734574,59.576715637084575,22.010488233585036,97.14294304058411
Arkansas,22.8553092414629,59.556746302765816,22.045938459905898,97.06755414562573
Arkansas,23.21953527418646,59.53545653390158,22.082688044567085,96.98822502323608
Arkansas,23.589565673917782,59.5127600645752,22.120732332233416,96.90478779691698
Arkansas,23.96549294002082,59.488565136410955,22.16005884098316,96.81707143183874
Arkansas,24.347411045944877,59.462774168591636,22.200646203281607,96.72490213390167
Arkansas,24.735415462715846,59.43528341078991,22.242463014259478,96.62810380732034
Arkansas,25.129603182801898,59.4059825785232,22.285466583645558,96.52649857340084
Arkansas,25.530072744359373,59.37475447049146,22.329601588391483,96.41990735259144
Arkansas,25.936924255865176,59.34147456752025,22.374798623940308,96.3081505111002
Arkansas,26.350259421141644,59.30601061280991,22.420972653267974,96.19104857235183
Arkansas,26.770181564780277,59.268222173287064,22.468021354312675,96.06842299226145
Arkansas,27.1967956579705,59.22796018197025,22.515823368250167,95.94009699569034
Arkansas,27.630208344740247,59.185066461398655,22.56423645332292,95.80589646947439
Arkansas,28.07052796861447,59.13937322833623,22.61309555164523,95.66565090502723
Arkansas,28.51786459969869,59.09070258015465,22.66221077963906,95.51919438067023
Arkansas,28.972330062194033,59.0388659635215,22.71136535656315,95.36636657047985
Arkansas,29.43403796235084,58.98366362627891,22.76031349003471,95.2070137625231
Arkansas,29.903103716867626,58.92488405369598,22.808778242553558,95.04098986483841
Arkansas,30.379644581742774,58.86230339062009,22.856449408860172,94.86815737238001
Arkansas,30.863779681585843,58.795684851442395,22.902981440508007,94.68838826237678
Arkansas,31.35563003939611,58.724778120235676,22.94799146129968,94.50156477917167
Arkansas,31.85531860681562,58.64931874392333,22.991057425186284,94.30758006266038
Arkansas,32.36297029486439,58.569027521901454,23.031716476768786,94.10633856703413
Arkansas,32.878712005165305,58.48360989616663,23.069463583528034,93.89775620880522
Arkansas,33.402672661666806,58.39275534670469,23.10375051812455,93.68176017528484
Arkansas,33.9349832428709,58.29613679767525,23.133985278243564,93.45828831710693
Arkansas,34.47577681457495,58.193410040786944,23.15953204010416,93.22728804146973
Arkansas,35.025188563135096,58.08421318320184,23.17971174936828,92.9887146170354
Arkansas,35.583355829259936,57.9681661283384,23.19380345911332,92.7425287975635
Arkansas,36.15041814234251,57.84487009905893,23.201046527959626,92.48869367015823
Arkansas,36.726517255339694,57.71390721393213,23.20064379142542,92.22717063643884
Arkansas,37.31179718020714,57.57484012854843,23.19176581502986,91.957914442067
Arkansas,37.90640422389912,57.42721175523206,23.173556327392426,91.68086718307168
Arkansas,38.510487024942094,57.27054507592888,23.145138914324527,91.39595123753324
Arkansas,39.12419659059085,57.104343064541226,23.10562502941668,91.10306109966578
Arkansas,39.747686334577146,56.928088736512784,23.05412334171691,90.80205413130867
Arkansas,40.38111211545959,56.74124534501539,22.989750395786267,90.49274029424453
Arkansas,41.024632275584864,56.54325674462651,22.911642503042827,90.1748709862102
Arkansas,41.67840768066981,56.33354794487551,22.818968715665335,89.84812717408569
Arkansas,42.3426017600142,56.111525877435746,22.71094465582764,89.51210709904385
Arkansas,43.01738054735455,55.87658040199373,22.586846884818748,89.16631391916872
Arkansas,43.70291272236876,55.628085576878306,22.446027400660626,88.81014375309599
Arkansas,44.39936965284227,55.36540122130744,22.28792775204709,88.44287469056778
Arkansas,45.106925437506256,55.087874796529675,22.112092154569844,88.06365743848951
Arkansas,45.82575694955838,54.79484363311023,21.918178896857363,87.6715083693631
Arkansas,46.55604388087724,54.48563753103849,21.7059692346806,87.26530582739639
Arkansas,47.297968786941205,54.15958175810715,21.47537289598896,86.84379062022535
Arkansas,48.051717132463374,53.81600047002099,21.22642926517991,86.40557167486207
Arkansas,48.81747733775348,53.45422057281725,20.95930328665184,85.94913785898265
Arkansas,49.59544082581889,53.073576044305284,20.674275131714715,85.47287695689585
Arkansas,50.385802070216,52.673412726249886,20.371722715001766,84.975102737498
Arkansas,51.18875864366442,52.25309359282941,20.0520962324645,84.45409095319431
Arkansas,52.004511267435596,51.81200449341833,19.715884029118648,83.908124957718
Arkansas,52.833263861528835,51.349560358915866,19.363569298236765,83.33555141959496
Arkansas,53.6752235956466,50.86521185065201,18.995577373727144,82.73484632757688
Arkansas,54.53060094098243,50.358452419372604,18.612213715635495,82.10469112310972
Arkansas,55.39960972283399,49.82882572902089,18.213593119941656,81.44405833810012
Arkansas,56.28246717405479,49.27593338613726,17.799561226482844,80.75230554579167
Arkansas,57.179393989357315,48.69944290091706,17.3696100741906,80.02927572764352
Arkansas,58.090614380481966,48.09909579059596,16.922790282872587,79.27540129831934
Arkansas,59.016356132244965,47.47471572026652,16.457623443561634,78.49180799697142
Arkansas,59.95685065947947,46.82621656093928,15.972019480731266,77.6804136411473
