,site,dist,p,pmin,pmax
90,Indiana,69.54244379,7.287137466,-6.886545412,21.46082034
91,Indiana,72.04244984,6.989601159,-7.193469186,21.1726715
92,Indiana,74.63232949,6.700839991,-7.47871298,20.88039296
93,Indiana,77.31531365,6.420872889,-7.741260099,20.58300588
94,Indiana,80.09474937,6.149692853,-7.980376869,20.27976257
95,Indiana,82.974104,5.887268566,-8.195594894,19.97013203
96,Indiana,85.95696958,5.633546064,-8.386690759,19.65378289
97,Indiana,89.04706726,5.388450436,-8.553664142,19.33056501
98,Indiana,92.24825195,5.151887541,-8.696715145,19.00049023
99,Indiana,95.56451718,4.92374573,-8.816221468,18.66371293
100,Indiana,99,4.703897538,-8.912715928,18.320511
