site,dist,p,pmin,pmax
Nebraska,3.5,15326.660588834005,12086.19699055854,18567.12418710947
Nebraska,3.6048789734129096,15049.218759356658,12208.571308057188,17889.866210656128
Nebraska,3.712900689415575,14762.38652753639,12273.785348028898,17250.98770704388
Nebraska,3.824159321612714,14466.433723738452,12269.660266384233,16663.207181092668
Nebraska,3.938751865560757,14161.694684770346,12183.340385986372,16140.04898355432
Nebraska,4.056778223328813,13848.569142201235,12005.0966114397,15692.04167296277
Nebraska,4.178341290593548,13527.522224354803,11734.036710383947,15321.00773832566
Nebraska,4.303547046343897,13199.08349924629,11381.424268618624,15016.742729873955
Nebraska,4.432504645273812,12863.845005692265,10967.58263274621,14760.10737863832
Nebraska,4.565326512943604,12522.45824362214,10514.968934711087,14529.947552533195
Nebraska,4.702128443792821,12175.630121591748,10043.000880544787,14308.25936263871
Nebraska,4.843029702090146,11824.117888721645,9566.390800542014,14081.844976901275
Nebraska,4.988153125908272,11468.723108619804,9095.55864391857,13841.887573321039
Nebraska,5.137625234214458,11110.284763001206,8637.622416749435,13582.947109252977
Nebraska,5.291576337170079,10749.671601296932,8197.299838906318,13302.043363687546
Nebraska,5.4501406497353475,10387.773878159966,7777.571500299971,12997.97625601996
Nebraska,5.613456408678265,10025.494642120151,7380.135130816864,12670.85415342344
Nebraska,5.781665993089777,9663.740754594519,7005.71274181811,12321.768767370928
Nebraska,5.954916048510229,9303.41382816219,6654.262060482908,11952.565595841474
Nebraska,6.133357614775318,8945.401275935514,6325.127544285197,11565.67500758583
Nebraska,6.317146257693,8590.567659839715,6017.153529198317,11163.981790481113
Nebraska,6.506442204666154,8239.74651487362,5728.773599183396,10750.719430563842
Nebraska,6.701410484379245,7893.732809549453,5458.085115857554,10329.380503241351
Nebraska,6.9022210706707305,7553.27618060605,5202.915031453166,9903.637329758934
Nebraska,7.109049030716702,7219.075053913923,4960.881930746376,9477.268177081469
Nebraska,7.322074677654876,6891.771734567173,4729.459233302767,9054.084235831579
Nebraska,7.541483727782047,6571.948518883457,4506.045199515048,8637.851838251867
Nebraska,7.767467462462032,6260.124850790072,4288.0461893580905,8232.203512222053
Nebraska,8.000222894885228,5956.7555161383925,4072.979446790163,7840.531585486622
Nebraska,8.239952941825232,5662.229841965356,3858.598926263671,7465.860757667042
Nebraska,8.48686660054218,5376.871844492507,3643.0406812622023,7110.703007722812
Nebraska,8.741179130987085,5100.94125034909,3424.9727986561593,6776.909702042021
Nebraska,9.003112243466022,4834.635300496012,3203.7219116124775,6465.548689379546
Nebraska,9.27289429192771,4578.091235730268,2979.341238855158,6176.841232605378
Nebraska,9.550760473043086,4331.38935635889,2752.5918917714953,5910.186820946285
Nebraska,9.836953031250326,4094.5565463550042,2524.831401316973,5664.2816913930355
Nebraska,10.131721469944194,3867.5701536079855,2297.831699306209,5437.308607909762
Nebraska,10.435322768993705,3650.3621222211077,2073.568170120414,5227.1560743218015
Nebraska,10.748021608777822,3442.8232796032635,1854.022782296904,5031.623776909622
Nebraska,11.070090600934503,3244.8076897440174,1641.030579182793,4848.5848003052415
Nebraska,11.401810526024192,3056.136993969487,1436.1801387203657,4676.093849218608
Nebraska,11.74347057831503,2876.6046711115596,1240.763904400742,4512.445437822377
Nebraska,12.095368617903134,2705.980159910066,1055.766842566302,4356.19347725383
Nebraska,12.457811430387823,2544.0127972058476,881.8805048546085,4206.145089557087
Nebraska,12.83111499432802,2390.43553575053,719.5315388319659,4061.3395326690943
Nebraska,13.215604756713192,2244.9684150122525,568.9167138219414,3921.0201162025637
Nebraska,13.611615916688859,2107.3217670260633,430.0393445991929,3784.6041894529335
Nebraska,14.019493717784048,1977.1991470176533,302.7441417799382,3651.6541522553684
Nebraska,14.439593748895451,1854.299985172307,186.74897123947198,3521.8509991051424
Nebraska,14.872282254290768,1738.3219615250966,81.67290881100234,3394.971014239191
Nebraska,15.317936452901357,1628.9631105487836,-12.939501641114475,3270.8657227386816
Nebraska,15.776944867182639,1525.923665673814,-97.59760122928128,3149.444932576909
Nebraska,16.249707661828968,1428.9076567711688,-172.84726410058033,3030.662577642918
Nebraska,16.73663699263826,1337.6242756548108,-239.25647777958193,2914.5050290892036
Nebraska,17.238157365830386,1251.7890260132913,-297.40349136661484,2800.981543393197
Nebraska,17.754706008132803,1171.1246749566017,-347.8671879437852,2690.1165378569885
Nebraska,18.286733247955937,1095.3620236590866,-391.21936806264694,2581.94341538082
Nebraska,18.83470290799061,1024.24051447993,-428.01866461716486,2476.499693577025
Nebraska,19.399092709569803,957.5086915302663,-458.80584226894734,2373.82322532948
Nebraska,19.98039468914738,894.9245310023579,-484.1002652725182,2273.949327277234
Nebraska,20.57911562725668,836.2556567446377,-504.3973454222057,2176.9086589114813
Nebraska,21.195777490323042,781.2794556109181,-520.1668067888318,2082.725718010668
Nebraska,21.830917885715465,729.7831060784298,-531.8516260533278,1991.4178382101873
Nebraska,22.485090530434146,681.5635325552465,-539.86752679482845,1902.9945919053216
Nebraska,23.158865733842227,636.4272967135977,-544.602923300993,1817.4575167281882
Nebraska,23.852830894863015,594.1904361155141,-546.4192245831732,1734.8000968142014
Nebraska,24.567591014075855,554.6782593598305,-545.6514225257613,1655.0079412454222
Nebraska,25.303769221157147,517.7251059882092,-542.6088996835226,1578.059111659941
Nebraska,26.062007318126323,483.1740784522746,-537.5764023472229,1503.9245592517723
Nebraska,26.842966338870553,450.87675257029036,-530.8151332911978,1432.5686384317785
Nebraska,27.64732712543571,420.69287209363745,-522.5639262443318,1363.9496704316066
Nebraska,28.475790921586157,392.4900322618649,-513.0404707202749,1298.0205352440048
Nebraska,29.32907998415091,366.143356549981,-502.4425615229325,1234.7292746228945
Nebraska,30.20793821268886,341.5351702011777,-490.94935211619725,1174.0196925185528
Nebraska,31.113131798022398,318.55467358970895,-478.7225952091434,1115.8319423885614
Nebraska,32.045449890204445,297.097617968873,-465.9078574463491,1060.1030933840952
Nebraska,33.00570528650143,277.0659857242283,-452.6356980855203,1006.7676695339769
Nebraska,33.9947351399921,258.36767686829637,-439.0228040613151,955.7581577979079
Nebraska,35.01340168939956,240.91620317602084,-425.17307593753367,907.0054822895754
Nebraska,36.06259301079328,224.63039106602957,-411.17866099543915,860.4394431274983
Nebraska,37.14322379181602,209.4340940773506,-397.12093114336386,815.9891192980651
Nebraska,38.25623612911076,195.2559155707992,-383.07140450556085,773.5832356471592
Nebraska,39.40260034964305,182.0289420951809,-369.092610495126,733.1504946854878
Nebraska,40.58331585663439,169.69048769736182,-355.23889893044964,694.6198743251733
Nebraska,41.79941200084457,158.1818493189444,-341.5571943466692,657.9208929845579
Nebraska,43.05194897796225,147.44807330792727,-328.0876971086792,622.9838437245338
Nebraska,44.34201875288613,137.43773297860426,-314.86453327275785,589.7399992299663
Nebraska,45.67074601170291,128.1027170747084,-301.9163553890196,558.1217895384364
Nebraska,47.03928914219122,119.39802892725709,-289.26689660334955,528.0629544578637
Nebraska,48.44884124370722,111.28159604772094,-276.93548051933834,499.4986726147802
Nebraska,49.90063116733153,103.7140898573342,-264.9374893302243,472.36566904489274
Nebraska,51.39592458718465,96.65875522298063,-253.28479273819715,446.6023031841584
Nebraska,52.93602510384502,90.08124944779249,-241.9861401523552,422.14863904794015
Nebraska,54.52227538083108,83.94949034916594,-231.04751860448192,398.94649930281383
Nebraska,56.15605831513896,78.23351304724146,-220.47247874971356,376.93950484419645
Nebraska,57.838798242855276,72.90533508212388,-210.2624312322635,356.0731013965113
Nebraska,59.57196218089731,67.93882947736554,-200.4169155988436,336.29457455357465
Nebraska,61.357061105961655,63.309605369842764,-190.93384383778,317.5530545774655
Nebraska,63.195651271797736,58.99489583146373,-181.80972051287037,299.7995121757978
Nebraska,65.08933556595386,54.97345251566342,-173.0398413500981,282.98674638142495
Nebraska,67.03976490717834,51.22544677088554,-164.61847202420284,267.0693655659739
Nebraska,69.04863968469476,47.7323768738426,-156.53900878226625,252.00376252995147
Nebraska,71.11771124060589,44.47698104695764,-148.7941224340426,237.74808452795787
Nebraska,73.2487833967174,41.4431559367303,-141.37588713457933,224.26219900803994
Nebraska,75.44371402711515,38.61588024260395,-134.27589528436022,211.5076557695681
Nebraska,77.70441667786409,35.98114319904734,-127.48535977624648,199.44764617434117
Nebraska,80.03286223524213,33.5258776268236,-120.99520472712577,188.04695998077295
Nebraska,82.43108064396472,31.237897282672876,-114.79614574562608,177.27194031097184
Nebraska,84.90116267689497,29.10583824977689,-108.87876070558386,167.09043720513765
Nebraska,87.44526175778495,27.119104124293443,-103.23355191812396,157.47176016671085
Nebraska,90.0655958386363,25.267814765895864,-97.8510005232134,148.38663005500513
Nebraska,92.76444933331581,23.542758392557488,-92.72161385423912,139.8071306393541
Nebraska,95.54417510911345,21.935346811739997,-87.83596646638281,131.7066600898628
Nebraska,98.40719653797836,20.437573591654314,-83.18473546117995,124.05988264448858
Nebraska,101.35600960921998,19.04197498733083,-78.75873068543909,116.84268066010075
Nebraska,104.3931851055182,17.741593446851812,-74.54892033245326,110.03210722615688
Nebraska,107.52137084413839,16.52994353325674,-70.54645242697904,103.60633949349253
Nebraska,110.74329398530469,15.400980107324274,-66.74267263254191,97.54463284719046
Nebraska,114.06176340974541,14.349068625666018,-63.12913878005432,91.82727603138636
Nebraska,117.47967216748265,13.368957417344582,-59.69763248030413,86.4355473149933
Nebraska,121.00000000000003,12.455751810558194,-56.4401681493589,81.35167177047529
