Cover,Distance,p,pmin,pmax
Yes,0.5,11.60426649656279,1.6345996732746055,21.573933319850973
Yes,0.6299605249474366,11.027420967509624,1.3376377754794486,20.717204159539797
Yes,0.7937005259840998,10.268498214206824,0.4666605218838473,20.0703359065298
Yes,1,9.315327774361664,-0.7273574442418838,19.358012992965214
Yes,1.2599210498948732,8.18562479935932,-1.7937247336215023,18.164974332340144
Yes,1.5874010519681996,6.9351601203850874,-2.3924307844643744,16.26275102523455
Yes,2.0000000000000004,5.651543156579618,-2.507816636642576,13.810902949801811
Yes,2.519842099789747,4.431933189309684,-2.405954459458049,11.269820838077418
Yes,3.1748021039363987,3.3553632199348544,-2.3700316238915584,9.080758063761268
Yes,4.000000000000001,2.465078958814405,-2.4549224534782637,7.385080371107073
Yes,5.039684199579492,1.7677256975918718,-2.5242939863833636,6.059745381567107
Yes,6.349604207872798,1.244350164804355,-2.461197803875119,4.9498981334838295
Yes,8.000000000000002,0.8640136946356228,-2.2547153085590788,3.982742697830324
Yes,10.079368399158986,0.594053502948123,-1.9563548779424669,3.1444618838387126
Yes,12.699208415745598,0.40562321567431076,-1.6259304290435814,2.437176860392203
Yes,15.999999999999998,0.27563411833144164,-1.3072078627326014,1.8584760993954847
No,0.5,37.43752973961662,28.203107749729988,46.671951729503256
No,0.6299605249474366,36.86368393067036,28.344536862554985,45.382830998785735
No,0.7937005259840998,36.10491148341964,28.293889835492802,43.915933131346485
No,1,35.11396560387065,27.906723697386045,42.321207510355265
No,1.2599210498948732,33.84052701035835,27.02731461106028,40.653739409656424
No,1.5874010519681996,32.237584804298486,25.56832451754679,38.90684509105018
No,2.0000000000000004,30.271628887970262,23.592153277250524,36.95110449869
No,2.519842099789747,27.93585656527303,21.299324892911407,34.572388237634655
No,3.1748021039363987,25.263215803993948,18.924218036169925,31.60221357181797
No,4.000000000000001,22.333696024548477,16.6198640797047,28.047527969392252
No,5.039684199579492,19.26999341063822,14.379114354479466,24.160872466796977
No,6.349604207872798,16.219437240211466,12.02508514532634,20.413789335096592
No,8.000000000000002,13.326873303800737,9.379755882295342,17.27399072530613
No,10.079368399158986,10.708492730436697,6.58937728244628,14.827608178427115
No,12.699208415745598,8.436017280573623,4.048624557943959,12.823410003203286
No,15.999999999999998,6.5347028782833,2.0284229103542204,11.04098284621238
