Row,Distance,Location,Cover,Rep,Injury,Height,DAT
15,7,N-3,No,2,10,87,28
15,7,N-3,No,3,10,87,28
16,7.5,N-3,No,1,5,88,28
16,7.5,N-3,No,2,10,87,28
16,7.5,N-3,No,3,10,90,28
17,8,N-3,No,1,5,93,28
17,8,N-3,No,2,8,91,28
17,8,N-3,No,3,5,88,28
18,8.5,N-3,No,1,10,89,28
18,8.5,N-3,No,2,10,89,28
18,8.5,N-3,No,3,5,90,28
19,9,N-3,No,1,5,87,28
19,9,N-3,No,2,5,92,28
19,9,N-3,No,3,2,83,28
20,9.5,N-3,No,1,5,90,28
20,9.5,N-3,No,2,2,88,28
20,9.5,N-3,No,3,2,86,28
21,10,N-3,No,1,5,88,28
21,10,N-3,No,2,5,92,28
21,10,N-3,No,3,2,89,28
1,0,S-1,No,1,,,28
1,0,S-1,No,2,,,28
1,0,S-1,No,3,,,28
2,0.5,S-1,No,1,0,62,28
2,0.5,S-1,No,2,0,70,28
2,0.5,S-1,No,3,0,68,28
3,1,S-1,No,1,0,66,28
3,1,S-1,No,2,0,65,28
3,1,S-1,No,3,0,60,28
4,1.5,S-1,No,1,0,65,28
4,1.5,S-1,No,2,0,62,28
4,1.5,S-1,No,3,0,65,28
5,2,S-1,No,1,0,69,28
5,2,S-1,No,2,0,63,28
5,2,S-1,No,3,0,58,28
6,2.5,S-1,No,1,0,68,28
6,2.5,S-1,No,2,0,66,28
6,2.5,S-1,No,3,0,62,28
7,3,S-1,No,1,0,67,28
7,3,S-1,No,2,0,67,28
7,3,S-1,No,3,0,77,28
8,3.5,S-1,No,1,0,75,28
8,3.5,S-1,No,2,0,81,28
8,3.5,S-1,No,3,0,82,28
9,4,S-1,No,1,0,88,28
9,4,S-1,No,2,0,87,28
9,4,S-1,No,3,0,84,28
10,4.5,S-1,No,1,0,85,28
10,4.5,S-1,No,2,0,79,28
10,4.5,S-1,No,3,0,85,28
11,5,S-1,No,1,0,85,28
11,5,S-1,No,2,0,81,28
11,5,S-1,No,3,0,87,28
12,5.5,S-1,No,1,0,85,28
12,5.5,S-1,No,2,0,84,28
12,5.5,S-1,No,3,0,78,28
13,6,S-1,No,1,0,76,28
13,6,S-1,No,2,0,84,28
13,6,S-1,No,3,0,85,28
14,6.5,S-1,No,1,0,84,28
14,6.5,S-1,No,2,0,88,28
14,6.5,S-1,No,3,0,83,28
15,7,S-1,No,1,0,83,28
15,7,S-1,No,2,0,89,28
15,7,S-1,No,3,0,85,28
16,7.5,S-1,No,1,0,91,28
16,7.5,S-1,No,2,0,82,28
16,7.5,S-1,No,3,0,88,28
17,8,S-1,No,1,0,90,28
17,8,S-1,No,2,0,84,28
17,8,S-1,No,3,0,88,28
18,8.5,S-1,No,1,0,84,28
18,8.5,S-1,No,2,0,88,28
18,8.5,S-1,No,3,0,82,28
19,9,S-1,No,1,0,89,28
19,9,S-1,No,2,0,88,28
19,9,S-1,No,3,0,86,28
20,9.5,S-1,No,1,0,87,28
20,9.5,S-1,No,2,0,83,28
20,9.5,S-1,No,3,0,87,28
21,10,S-1,No,1,0,86,28
21,10,S-1,No,2,0,85,28
21,10,S-1,No,3,0,84,28
1,0,N-1,Yes,1,40,75,28
1,0,N-1,Yes,2,55,63,28
1,0,N-1,Yes,3,50,62,28
2,0.5,N-1,Yes,1,40,78,28
2,0.5,N-1,Yes,2,40,70,28
2,0.5,N-1,Yes,3,40,75,28
3,1,N-1,Yes,1,35,82,28
3,1,N-1,Yes,2,35,77,28
3,1,N-1,Yes,3,30,80,28
4,1.5,N-1,Yes,1,35,80,28
4,1.5,N-1,Yes,2,40,79,28
4,1.5,N-1,Yes,3,40,79,28
5,2,N-1,Yes,1,35,80,28
5,2,N-1,Yes,2,35,74,28
5,2,N-1,Yes,3,35,76,28
6,2.5,N-1,Yes,1,30,77,28
6,2.5,N-1,Yes,2,30,75,28
6,2.5,N-1,Yes,3,30,76,28
7,3,N-1,Yes,1,30,83,28
7,3,N-1,Yes,2,25,77,28
7,3,N-1,Yes,3,25,78,28
8,3.5,N-1,Yes,1,25,80,28
8,3.5,N-1,Yes,2,20,80,28
8,3.5,N-1,Yes,3,25,78,28
9,4,N-1,Yes,1,20,78,28
9,4,N-1,Yes,2,20,77,28
9,4,N-1,Yes,3,25,80,28
10,4.5,N-1,Yes,1,20,83,28
10,4.5,N-1,Yes,2,15,77,28
10,4.5,N-1,Yes,3,15,83,28
11,5,N-1,Yes,1,15,82,28
11,5,N-1,Yes,2,20,81,28
11,5,N-1,Yes,3,15,78,28
12,5.5,N-1,Yes,1,15,80,28
12,5.5,N-1,Yes,2,20,79,28
12,5.5,N-1,Yes,3,15,80,28
13,6,N-1,Yes,1,15,73,28
13,6,N-1,Yes,2,15,76,28
13,6,N-1,Yes,3,15,76,28
14,6.5,N-1,Yes,1,15,79,28
14,6.5,N-1,Yes,2,15,77,28
14,6.5,N-1,Yes,3,10,78,28
15,7,N-1,Yes,1,10,83,28
15,7,N-1,Yes,2,10,84,28
15,7,N-1,Yes,3,15,81,28
16,7.5,N-1,Yes,1,10,83,28
16,7.5,N-1,Yes,2,10,84,28
16,7.5,N-1,Yes,3,10,82,28
17,8,N-1,Yes,1,10,88,28
17,8,N-1,Yes,2,8,84,28
17,8,N-1,Yes,3,5,84,28
18,8.5,N-1,Yes,1,5,87,28
18,8.5,N-1,Yes,2,5,84,28
18,8.5,N-1,Yes,3,5,84,28
19,9,N-1,Yes,1,5,86,28
19,9,N-1,Yes,2,2,84,28
19,9,N-1,Yes,3,5,80,28
20,9.5,N-1,Yes,1,2,88,28
20,9.5,N-1,Yes,2,5,86,28
20,9.5,N-1,Yes,3,5,84,28
21,10,N-1,Yes,1,3,83,28
21,10,N-1,Yes,2,2,83,28
21,10,N-1,Yes,3,2,82,28
1,0,N-2,Yes,1,45,82,28
1,0,N-2,Yes,2,45,84,28
1,0,N-2,Yes,3,50,82,28
2,0.5,N-2,Yes,1,40,85,28
2,0.5,N-2,Yes,2,40,85,28
2,0.5,N-2,Yes,3,40,86,28
3,1,N-2,Yes,1,35,89,28
3,1,N-2,Yes,2,40,87,28
3,1,N-2,Yes,3,35,84,28
4,1.5,N-2,Yes,1,35,85,28
4,1.5,N-2,Yes,2,30,87,28
4,1.5,N-2,Yes,3,35,84,28
5,2,N-2,Yes,1,40,85,28
5,2,N-2,Yes,2,35,86,28
5,2,N-2,Yes,3,35,87,28
6,2.5,N-2,Yes,1,30,83,28
6,2.5,N-2,Yes,2,25,85,28
6,2.5,N-2,Yes,3,25,83,28
7,3,N-2,Yes,1,20,85,28
7,3,N-2,Yes,2,25,86,28
7,3,N-2,Yes,3,25,87,28
8,3.5,N-2,Yes,1,20,86,28
8,3.5,N-2,Yes,2,20,88,28
8,3.5,N-2,Yes,3,15,85,28
9,4,N-2,Yes,1,15,90,28
9,4,N-2,Yes,2,20,93,28
9,4,N-2,Yes,3,20,91,28
10,4.5,N-2,Yes,1,10,85,28
10,4.5,N-2,Yes,2,10,87,28
10,4.5,N-2,Yes,3,8,89,28
11,5,N-2,Yes,1,5,87,28
11,5,N-2,Yes,2,2,80,28
11,5,N-2,Yes,3,5,87,28
12,5.5,N-2,Yes,1,2,83,28
12,5.5,N-2,Yes,2,2,84,28
12,5.5,N-2,Yes,3,1,84,28
13,6,N-2,Yes,1,2,86,28
13,6,N-2,Yes,2,2,87,28
13,6,N-2,Yes,3,1,84,28
14,6.5,N-2,Yes,1,2,84,28
14,6.5,N-2,Yes,2,2,88,28
14,6.5,N-2,Yes,3,1,85,28
15,7,N-2,Yes,1,2,88,28
15,7,N-2,Yes,2,1,89,28
15,7,N-2,Yes,3,1,87,28
16,7.5,N-2,Yes,1,1,90,28
16,7.5,N-2,Yes,2,1,90,28
16,7.5,N-2,Yes,3,2,90,28
17,8,N-2,Yes,1,1,84,28
17,8,N-2,Yes,2,1,90,28
17,8,N-2,Yes,3,1,91,28
18,8.5,N-2,Yes,1,1,87,28
18,8.5,N-2,Yes,2,1,86,28
18,8.5,N-2,Yes,3,1,88,28
19,9,N-2,Yes,1,1,86,28
19,9,N-2,Yes,2,1,86,28
19,9,N-2,Yes,3,2,92,28
20,9.5,N-2,Yes,1,1,90,28
20,9.5,N-2,Yes,2,2,89,28
20,9.5,N-2,Yes,3,3,89,28
21,10,N-2,Yes,1,1,91,28
21,10,N-2,Yes,2,2,90,28
21,10,N-2,Yes,3,2,91,28
1,0,N-3,Yes,1,40,85,28
1,0,N-3,Yes,2,40,86,28
1,0,N-3,Yes,3,40,86,28
2,0.5,N-3,Yes,1,35,85,28
2,0.5,N-3,Yes,2,35,88,28
2,0.5,N-3,Yes,3,40,83,28
3,1,N-3,Yes,1,35,83,28
3,1,N-3,Yes,2,35,82,28
3,1,N-3,Yes,3,35,82,28
4,1.5,N-3,Yes,1,30,85,28
4,1.5,N-3,Yes,2,30,81,28
4,1.5,N-3,Yes,3,25,82,28
5,2,N-3,Yes,1,20,88,28
5,2,N-3,Yes,2,25,88,28
5,2,N-3,Yes,3,20,85,28
6,2.5,N-3,Yes,1,20,85,28
6,2.5,N-3,Yes,2,20,83,28
6,2.5,N-3,Yes,3,15,90,28
7,3,N-3,Yes,1,15,86,28
7,3,N-3,Yes,2,20,88,28
7,3,N-3,Yes,3,15,85,28
8,3.5,N-3,Yes,1,15,88,28
8,3.5,N-3,Yes,2,10,86,28
8,3.5,N-3,Yes,3,10,92,28
9,4,N-3,Yes,1,10,81,28
9,4,N-3,Yes,2,5,86,28
9,4,N-3,Yes,3,8,85,28
10,4.5,N-3,Yes,1,5,82,28
10,4.5,N-3,Yes,2,2,85,28
10,4.5,N-3,Yes,3,5,83,28
11,5,N-3,Yes,1,8,86,28
11,5,N-3,Yes,2,5,84,28
11,5,N-3,Yes,3,5,85,28
12,5.5,N-3,Yes,1,5,83,28
12,5.5,N-3,Yes,2,8,82,28
12,5.5,N-3,Yes,3,5,82,28
13,6,N-3,Yes,1,5,87,28
13,6,N-3,Yes,2,5,84,28
13,6,N-3,Yes,3,5,84,28
14,6.5,N-3,Yes,1,2,87,28
14,6.5,N-3,Yes,2,2,88,28
14,6.5,N-3,Yes,3,2,86,28
15,7,N-3,Yes,1,3,89,28
15,7,N-3,Yes,2,2,86,28
15,7,N-3,Yes,3,2,80,28
16,7.5,N-3,Yes,1,1,89,28
16,7.5,N-3,Yes,2,2,82,28
16,7.5,N-3,Yes,3,2,83,28
17,8,N-3,Yes,1,2,89,28
17,8,N-3,Yes,2,2,85,28
17,8,N-3,Yes,3,2,86,28
18,8.5,N-3,Yes,1,2,80,28
18,8.5,N-3,Yes,2,2,84,28
18,8.5,N-3,Yes,3,2,85,28
19,9,N-3,Yes,1,1,82,28
19,9,N-3,Yes,2,2,81,28
19,9,N-3,Yes,3,2,81,28
20,9.5,N-3,Yes,1,2,78,28
20,9.5,N-3,Yes,2,2,84,28
20,9.5,N-3,Yes,3,1,82,28
21,10,N-3,Yes,1,1,84,28
21,10,N-3,Yes,2,1,81,28
21,10,N-3,Yes,3,1,83,28
1,0,S-1,Yes,1,0,82,28
1,0,S-1,Yes,2,0,82,28
1,0,S-1,Yes,3,0,78,28
2,0.5,S-1,Yes,1,15,81,28
2,0.5,S-1,Yes,2,0,80,28
2,0.5,S-1,Yes,3,0,76,28
3,1,S-1,Yes,1,0,82,28
3,1,S-1,Yes,2,0,80,28
3,1,S-1,Yes,3,0,75,28
4,1.5,S-1,Yes,1,0,80,28
4,1.5,S-1,Yes,2,0,75,28
4,1.5,S-1,Yes,3,0,74,28
5,2,S-1,Yes,1,0,79,28
5,2,S-1,Yes,2,0,76,28
5,2,S-1,Yes,3,0,76,28
6,2.5,S-1,Yes,1,0,79,28
6,2.5,S-1,Yes,2,0,74,28
6,2.5,S-1,Yes,3,0,74,28
7,3,S-1,Yes,1,0,77,28
7,3,S-1,Yes,2,0,77,28
7,3,S-1,Yes,3,0,76,28
8,3.5,S-1,Yes,1,0,79,28
8,3.5,S-1,Yes,2,0,80,28
8,3.5,S-1,Yes,3,0,79,28
9,4,S-1,Yes,1,0,84,28
9,4,S-1,Yes,2,0,83,28
9,4,S-1,Yes,3,0,83,28
10,4.5,S-1,Yes,1,0,87,28
10,4.5,S-1,Yes,2,0,75,28
10,4.5,S-1,Yes,3,0,84,28
11,5,S-1,Yes,1,0,85,28
11,5,S-1,Yes,2,0,80,28
11,5,S-1,Yes,3,0,81,28
12,5.5,S-1,Yes,1,0,80,28
12,5.5,S-1,Yes,2,0,81,28
12,5.5,S-1,Yes,3,0,80,28
13,6,S-1,Yes,1,0,83,28
13,6,S-1,Yes,2,0,81,28
13,6,S-1,Yes,3,0,81,28
14,6.5,S-1,Yes,1,0,86,28
14,6.5,S-1,Yes,2,0,80,28
14,6.5,S-1,Yes,3,0,84,28
15,7,S-1,Yes,1,0,88,28
15,7,S-1,Yes,2,0,85,28
15,7,S-1,Yes,3,0,85,28
16,7.5,S-1,Yes,1,0,91,28
16,7.5,S-1,Yes,2,0,88,28
16,7.5,S-1,Yes,3,0,90,28
17,8,S-1,Yes,1,0,90,28
17,8,S-1,Yes,2,0,86,28
17,8,S-1,Yes,3,0,89,28
18,8.5,S-1,Yes,1,0,91,28
18,8.5,S-1,Yes,2,0,89,28
18,8.5,S-1,Yes,3,0,89,28
19,9,S-1,Yes,1,0,88,28
19,9,S-1,Yes,2,0,82,28
19,9,S-1,Yes,3,0,90,28
20,9.5,S-1,Yes,1,0,89,28
20,9.5,S-1,Yes,2,0,78,28
20,9.5,S-1,Yes,3,0,82,28
21,10,S-1,Yes,1,0,90,28
21,10,S-1,Yes,2,0,86,28
21,10,S-1,Yes,3,0,85,28
25,12.5,S-1,No,1,0,85,28
25,12.5,S-1,No,2,0,86,28
25,12.5,S-1,No,3,0,87,28
29,14.5,S-1,No,1,0,85,28
29,14.5,S-1,No,2,0,87,28
29,14.5,S-1,No,3,0,89,28
33,16.5,S-1,No,1,0,80,28
33,16.5,S-1,No,2,0,86,28
33,16.5,S-1,No,3,0,87,28
37,18.5,S-1,No,1,0,87,28
37,18.5,S-1,No,2,0,86,28
37,18.5,S-1,No,3,0,86,28
41,20.5,S-1,No,1,0,85,28
41,20.5,S-1,No,2,0,6,28
41,20.5,S-1,No,3,0,6,28
45,22.5,S-1,No,1,0,84,28
45,22.5,S-1,No,2,0,86,28
45,22.5,S-1,No,3,0,86,28
49,24.5,S-1,No,1,0,85,28
49,24.5,S-1,No,2,0,89,28
49,24.5,S-1,No,3,0,88,28
53,26.5,S-1,No,1,0,82,28
53,26.5,S-1,No,2,0,87,28
53,26.5,S-1,No,3,0,84,28
57,28.5,S-1,No,1,0,85,28
57,28.5,S-1,No,2,0,87,28
57,28.5,S-1,No,3,0,88,28
61,30.5,S-1,No,1,0,83,28
61,30.5,S-1,No,2,0,88,28
61,30.5,S-1,No,3,0,81,28
25,12.5,N-2,No,1,1,83,28
25,12.5,N-2,No,2,1,87,28
25,12.5,N-2,No,3,1,83,28
29,14.5,N-2,No,1,2,87,28
29,14.5,N-2,No,2,1,85,28
29,14.5,N-2,No,3,1,88,28
33,16.5,N-2,No,1,2,86,28
33,16.5,N-2,No,2,1,89,28
33,16.5,N-2,No,3,1,86,28
37,18.5,N-2,No,1,2,83,28
37,18.5,N-2,No,2,1,84,28
37,18.5,N-2,No,3,1,83,28
41,20.5,N-2,No,1,1,86,28
41,20.5,N-2,No,2,1,91,28
41,20.5,N-2,No,3,1,90,28
45,22.5,N-2,No,1,1,89,28
45,22.5,N-2,No,2,1,83,28
45,22.5,N-2,No,3,1,88,28
49,24.5,N-2,No,1,1,87,28
49,24.5,N-2,No,2,0,88,28
49,24.5,N-2,No,3,0,88,28
53,26.5,N-2,No,1,0,90,28
53,26.5,N-2,No,2,0,86,28
53,26.5,N-2,No,3,0,88,28
57,28.5,N-2,No,1,0,92,28
57,28.5,N-2,No,2,0,90,28
57,28.5,N-2,No,3,0,91,28
61,30.5,N-2,No,1,0,82,28
61,30.5,N-2,No,2,0,82,28
61,30.5,N-2,No,3,0,87,28
25,12.5,N-3,No,2,2,85,28
25,12.5,N-3,No,1,1,84,28
25,12.5,N-3,No,2,2,81,28
29,14.5,N-3,No,1,1,86,28
29,14.5,N-3,No,1,1,85,28
29,14.5,N-3,No,2,2,82,28
33,16.5,N-3,No,2,2,88,28
33,16.5,N-3,No,2,2,89,28
33,16.5,N-3,No,1,1,89,28
37,18.5,N-3,No,3,3,85,28
37,18.5,N-3,No,2,2,85,28
37,18.5,N-3,No,2,2,85,28
41,20.5,N-3,No,1,1,86,28
41,20.5,N-3,No,1,1,100,28
41,20.5,N-3,No,1,1,88,28
45,22.5,N-3,No,2,2,82,28
45,22.5,N-3,No,1,1,84,28
45,22.5,N-3,No,1,1,82,28
49,24.5,N-3,No,1,1,85,28
49,24.5,N-3,No,1,1,85,28
49,24.5,N-3,No,1,1,87,28
53,26.5,N-3,No,0,0,85,28
53,26.5,N-3,No,0,0,83,28
53,26.5,N-3,No,0,0,83,28
57,28.5,N-3,No,1,1,84,28
57,28.5,N-3,No,0,0,83,28
57,28.5,N-3,No,0,0,80,28
61,30.5,N-3,No,0,0,87,28
61,30.5,N-3,No,0,0,80,28
61,30.5,N-3,No,0,0,88,28
