Row,Distance,Location,Cover,Rep,Injury,Height,DAT
5,2,N-1,No,3,40,83,28
6,2.5,N-1,No,1,40,84,28
6,2.5,N-1,No,2,45,78,28
6,2.5,N-1,No,3,40,80,28
7,3,N-1,No,1,35,78,28
7,3,N-1,No,2,35,82,28
7,3,N-1,No,3,35,76,28
8,3.5,N-1,No,1,40,82,28
8,3.5,N-1,No,2,35,80,28
8,3.5,N-1,No,3,35,77,28
9,4,N-1,No,1,35,85,28
9,4,N-1,No,2,35,84,28
9,4,N-1,No,3,30,82,28
10,4.5,N-1,No,1,35,83,28
10,4.5,N-1,No,2,30,84,28
10,4.5,N-1,No,3,30,83,28
1,0,N-2,Yes,1,35,59,14
1,0,N-2,Yes,2,35,47,14
1,0,N-2,Yes,3,40,57,14
2,0.5,N-2,Yes,1,35,57,14
2,0.5,N-2,Yes,2,35,56,14
2,0.5,N-2,Yes,3,30,59,14
3,1,N-2,Yes,1,40,60,14
3,1,N-2,Yes,2,30,59,14
3,1,N-2,Yes,3,30,56,14
4,1.5,N-2,Yes,1,30,52,14
4,1.5,N-2,Yes,2,30,52,14
4,1.5,N-2,Yes,3,35,56,14
5,2,N-2,Yes,1,30,54,14
5,2,N-2,Yes,2,25,51,14
5,2,N-2,Yes,3,25,51,14
6,2.5,N-2,Yes,1,25,56,14
6,2.5,N-2,Yes,2,20,56,14
6,2.5,N-2,Yes,3,20,52,14
7,3,N-2,Yes,1,15,54,14
7,3,N-2,Yes,2,20,53,14
7,3,N-2,Yes,3,20,56,14
8,3.5,N-2,Yes,1,15,54,14
8,3.5,N-2,Yes,2,15,56,14
8,3.5,N-2,Yes,3,15,57,14
9,4,N-2,Yes,1,15,57,14
9,4,N-2,Yes,2,10,59,14
9,4,N-2,Yes,3,10,58,14
10,4.5,N-2,Yes,1,10,56,14
10,4.5,N-2,Yes,2,10,57,14
10,4.5,N-2,Yes,3,10,58,14
11,5,N-2,Yes,1,10,52,14
11,5,N-2,Yes,2,10,53,14
11,5,N-2,Yes,3,8,57,14
12,5.5,N-2,Yes,1,5,54,14
12,5.5,N-2,Yes,2,5,50,14
12,5.5,N-2,Yes,3,8,59,14
13,6,N-2,Yes,1,5,55,14
13,6,N-2,Yes,2,8,57,14
13,6,N-2,Yes,3,2,54,14
14,6.5,N-2,Yes,1,2,55,14
14,6.5,N-2,Yes,2,2,57,14
14,6.5,N-2,Yes,3,2,54,14
15,7,N-2,Yes,1,5,59,14
15,7,N-2,Yes,2,5,57,14
15,7,N-2,Yes,3,2,58,14
16,7.5,N-2,Yes,1,3,59,14
16,7.5,N-2,Yes,2,2,55,14
16,7.5,N-2,Yes,3,2,59,14
17,8,N-2,Yes,1,2,60,14
17,8,N-2,Yes,2,2,53,14
17,8,N-2,Yes,3,2,59,14
18,8.5,N-2,Yes,1,2,60,14
18,8.5,N-2,Yes,2,2,56,14
18,8.5,N-2,Yes,3,2,57,14
19,9,N-2,Yes,1,2,56,14
19,9,N-2,Yes,2,1,59,14
19,9,N-2,Yes,3,5,58,14
20,9.5,N-2,Yes,1,2,58,14
20,9.5,N-2,Yes,2,1,59,14
20,9.5,N-2,Yes,3,2,56,14
21,10,N-2,Yes,1,2,60,14
21,10,N-2,Yes,2,1,57,14
21,10,N-2,Yes,3,2,55,14
1,0,N-2,No,1,,,14
1,0,N-2,No,2,,,14
1,0,N-2,No,3,,,14
2,0.5,N-2,No,1,45,45,14
2,0.5,N-2,No,2,45,45,14
2,0.5,N-2,No,3,45,50,14
3,1,N-2,No,1,40,54,14
3,1,N-2,No,2,45,53,14
3,1,N-2,No,3,45,59,14
4,1.5,N-2,No,1,45,57,14
4,1.5,N-2,No,2,40,55,14
4,1.5,N-2,No,3,40,52,14
5,2,N-2,No,1,40,56,14
5,2,N-2,No,2,35,54,14
5,2,N-2,No,3,30,53,14
6,2.5,N-2,No,1,30,54,14
6,2.5,N-2,No,2,35,52,14
6,2.5,N-2,No,3,30,56,14
7,3,N-2,No,1,35,59,14
7,3,N-2,No,2,35,56,14
7,3,N-2,No,3,30,57,14
8,3.5,N-2,No,1,25,55,14
8,3.5,N-2,No,2,25,56,14
8,3.5,N-2,No,3,20,57,14
9,4,N-2,No,1,15,58,14
9,4,N-2,No,2,10,59,14
9,4,N-2,No,3,20,56,14
10,4.5,N-2,No,1,15,56,14
10,4.5,N-2,No,2,15,59,14
10,4.5,N-2,No,3,15,56,14
11,5,N-2,No,1,15,57,14
11,5,N-2,No,2,10,55,14
11,5,N-2,No,3,10,59,14
12,5.5,N-2,No,1,10,52,14
12,5.5,N-2,No,2,8,53,14
12,5.5,N-2,No,3,5,53,14
13,6,N-2,No,1,8,58,14
13,6,N-2,No,2,8,55,14
13,6,N-2,No,3,5,53,14
14,6.5,N-2,No,1,2,55,14
14,6.5,N-2,No,2,5,54,14
14,6.5,N-2,No,3,5,52,14
15,7,N-2,No,1,5,54,14
15,7,N-2,No,2,2,58,14
15,7,N-2,No,3,5,57,14
16,7.5,N-2,No,1,5,57,14
16,7.5,N-2,No,2,5,60,14
16,7.5,N-2,No,3,2,58,14
17,8,N-2,No,1,2,57,14
17,8,N-2,No,2,2,58,14
17,8,N-2,No,3,5,54,14
18,8.5,N-2,No,1,2,56,14
18,8.5,N-2,No,2,2,55,14
18,8.5,N-2,No,3,2,53,14
19,9,N-2,No,1,2,53,14
19,9,N-2,No,2,2,58,14
19,9,N-2,No,3,2,57,14
20,9.5,N-2,No,1,2,56,14
20,9.5,N-2,No,2,2,58,14
20,9.5,N-2,No,3,2,57,14
21,10,N-2,No,1,2,57,14
21,10,N-2,No,2,1,60,14
21,10,N-2,No,3,2,56,14
1,0,N-3,Yes,1,35,56,14
1,0,N-3,Yes,2,40,55,14
1,0,N-3,Yes,3,45,58,14
2,0.5,N-3,Yes,1,45,57,14
