Direction,Cover,Location,Distance,Injury,DAT
Downwind,No,East Transect 3,182.88,2,22
Downwind,Yes,East Transect 1,182.88,1,22
Downwind,Yes,East Transect 2,182.88,5,22
Downwind,Yes,East Transect 3,182.88,2,22
Downwind,No,East Transect 1,198.12,0,22
Downwind,No,East Transect 2,198.12,5,22
Downwind,No,East Transect 3,198.12,2,22
Downwind,Yes,East Transect 1,198.12,0,22
Downwind,Yes,East Transect 2,198.12,4,22
Downwind,Yes,East Transect 3,198.12,0,22
Downwind,No,East Transect 1,213.36,0,22
Downwind,No,East Transect 2,213.36,5,22
Downwind,No,East Transect 3,213.36,0,22
Downwind,Yes,East Transect 1,213.36,0,22
Downwind,Yes,East Transect 2,213.36,5,22
Downwind,Yes,East Transect 3,213.36,0,22
Downwind,No,East Transect 1,228.6,0,22
Downwind,No,East Transect 2,228.6,5,22
Downwind,No,East Transect 3,228.6,0,22
Downwind,Yes,East Transect 1,228.6,0,22
Downwind,Yes,East Transect 2,228.6,3,22
Downwind,Yes,East Transect 3,228.6,0,22
Downwind,No,East Transect 1,243.84,0,22
Downwind,No,East Transect 2,243.84,2,22
Downwind,No,East Transect 3,243.84,0,22
Downwind,Yes,East Transect 1,243.84,0,22
Downwind,Yes,East Transect 2,243.84,1,22
Downwind,Yes,East Transect 3,243.84,0,22
Downwind,No,East Transect 1,259.08,0,22
Downwind,No,East Transect 2,259.08,2,22
Downwind,No,East Transect 3,259.08,0,22
Downwind,Yes,East Transect 1,259.08,0,22
Downwind,Yes,East Transect 2,259.08,1,22
Downwind,Yes,East Transect 3,259.08,0,22
